Sl no,"Part No.
1,13360474,RCF,CVR ART 912,"ART cover for ART 9 series 12""",PCS,387,383
1,13360478,RCF,CVR ART 915,"ART cover for ART 9 series 15""",PCS,420,415
1,13360471,RCF,H-BR ART 910,"Horizontal bracket for ART 9 series 10""",PCS,495,489
1,13360475,RCF,H-BR ART 912,"Horizontal bracket for ART 9 series 12""",PCS,495,489
1,13360479,RCF,H-BR ART 915,"Horizontal bracket for ART 9 series 15""",PCS,495,489
1,13360476,RCF,V-BR ART 912,"Vertical bracket for ART 9 series 12""",PCS,495,489
1,13360480,RCF,V-BR ART 915,"Vertical bracket for ART 9 series 15""",PCS,560,553
1,13360472,RCF,FL-BR ART 910,"Suspension bar for ART 9 series 10""",PCS,387,383
1,13360477,RCF,FL-BR ART 912,"Suspension bar for ART 9 series 12""",PCS,495,489
1,13360481,RCF,FL-BR ART 915,"Suspension bar for ART 9 series 15""",PCS,527,521
1,13360515,RCF,RP 001,"Amplifier rain cover to protect 2X ART 945, NX 932/945/985, NXL 24/44, NXW 44, NX 912/915-SMA, KX 32/45-A",PCS,291,287
1,13360164,RCF,H-BR 2X ART 708,"2 x horizontal bracket for ART 7 series 8""",PCS,549,542
1,13360103,RCF,H-BR 2X ART 710,"2 x horizontal bracket for ART7 series 10""",PCS,560,553
1,13360104,RCF,H-BR 2X ART 712,"2 x horizontal bracket for ART 7 series 12""",PCS,613,606
1,13360105,RCF,H-BR 2X ART 715,"2 x horizontal bracket for ART 7 series 15""",PCS,646,638
1,13360166,RCF,CVR ART 708,"ART Cover for ART 7 series 8""",PCS,269,266
1,13360113,RCF,CVR ART 710,"ART cover for ART 7 series 10""",PCS,291,287
1,13360114,RCF,CVR ART 722,"ART cover for ART 7 series 12""",PCS,344,340
1,13360115,RCF,CVR ART 725,"ART cover for ART 7 series 15""",PCS,377,372
1,13360506,RCF,2X PLATE H-BR NX 910-912-915,"Adapter plate to use H-BR 007 with NX 910-A, H-BR 003 with NX 912-A and KX 32-A, HBR60706 with NX 915-A and KX 45-A",PCS,947,936
1,13360495,RCF,CVR NX 910,Cover for NX 910-A,PCS,377,372
1,13360496,RCF,CVR NX 912,"Cover for NX 912-A, NX 932-A, KX 32-A",PCS,441,436
1,13360497,RCF,CVR NX 915,Cover for NX 915-A and KX 45-A,PCS,474,468
1,13360707,RCF,VBR60707,NX 945-A and KX 45-A vertical U braket,PCS,1614,1595
1,13360535,RCF,H-BR 001,"2x Horizontal bracket for C 45, NX 945-A and KX 45-A",PCS,1044,1031
1,13360687,RCF,HBR60687,2x Horizontal bracket for NX 945-A W,PCS,1044,1031
1,13360685,RCF,CVR60685,Cover for NXL 14-A,PCS,398,393
1,13360681,RCF,VBR60681,Vertical bracket for NXL 14-A,PCS,646,638
1,13360683,RCF,HBR60683,Horizontal bracket for NXL 14-A,PCS,441,436
1,13360682,RCF,VBR60682,Vertical bracket for NXL 14-A W,PCS,646,638
1,13360684,RCF,HBR60684,Horizontal bracket for NXL 14-A W,PCS,441,436
1,13360278,RCF,FL-B NXL 24,Fly bar for NXL24 up to 2 pieces,PCS,1184,1169
1,13360279,RCF,FL-B LINK NXL 24,Accessory to link a second NXL24 to a flying NXL24 (straight or 2 angles),PCS,904,893
1,13360280,RCF,PM-KIT NXL 24,Pole mount accessory for stacking NXL24 on SUB8004 (or M20 pole mount),PCS,409,404
1,13360281,RCF,STCK-KIT NXL 24,Accessory for stacking 2 NXL24 on SUB8006 or 8004 (or M20 pole mount),PCS,904,893
1,13360345,RCF,FL-B NXL 44,Fly bar for NXL44 up to 2 pieces,PCS,1507,1488
1,13360346,RCF,FL-B LINK NXL 44,Accessory to link a second NXL44 to a flying NXL44 (straight or 2 angles),PCS,1453,1435
1,13360347,RCF,STCK-KIT NXL 44,Accessory for stacking 2 NXL44 on SUB8006 or 8004 (or M20 pole mount),PCS,1776,1754
1,13360167,RCF,CVR NX10-SMA,Cover for NX 10 SMA,PCS,366,361
1,13360168,RCF,CVR NX12-SMA,Cover for NX 12 SMA,PCS,387,383
1,13360174,RCF,CVR NX15-SMA,Cover for NX 15 SMA,PCS,409,404
1,13360612,RCF,CVR 011,Cover for NX 912-SMA,PCS,441,436
1,13360611,RCF,CVR 010,Cover for NX 915-SMA,PCS,474,468
1,13360517,RCF,CVR NX 985,Cover for NX 985,PCS,796,787
1,13360528,RCF,CVR 005,Cover for SUB 702-AS MK3,PCS,527,521
1,13360529,RCF,CVR 004,"Cover for SUB 705-AS MK3, SUB 905-AS MK3 and SUB 15-AX",PCS,581,574
1,13360530,RCF,CVR 003,"Cover for SUB 708-AS MK3, SUB 8003-AS MK3 and SUB 18-AX",PCS,732,723
1,13360518,RCF,CVR SUB 8008,Cover for SUB 8008,PCS,1076,1063
1,17140088,RCF,F 6X,6 channel mixing console with multi-FX,PCS,1076,1063
1,17140089,RCF,F 10XR,10 channel mixing console with multi-FX & Recording,PCS,1507,1488
1,17140090,RCF,F 12XR,12 channel mixing console with multi-FX & Recording,PCS,2099,2073
1,17140091,RCF,F 16XR,16 channel mixing console with multi-FX & Recording,PCS,2852,2817
1,13360416,RCF,RM-KIT F 12XR,Rack mount kit for F 12XR,PCS,108,106
1,13360417,RCF,BG F 6X,Carrying bag for F 6X,PCS,280,276
1,13360418,RCF,BG F 10XR,Carrying bag for F 10XR,PCS,291,287
1,13360419,RCF,BG F 12XR,Carrying bag for F 12XR,PCS,312,308
1,13360420,RCF,BG F 16XR,Carrying bag for F 16XR,PCS,334,330
1,12399066,RCF,MWD1,Wireless usb adapter,PCS,65,64
1,12100037,RCF,XPS 16K,"Class D power amplifier with DSP - 4 x 4.000 W @ 2.7 ohm, RDNET",PCS,49292,48691
1,12100064,RCF,XPS 16KD,"Class D power amplifier with DSP - 4 x 4.000 W @ 2.7 ohm, RDNET, DANTE",PCS,51768,51136
1,12100065,RCF,IPS 1.5K,Class H power amplifier - 2 x 750 W @ 4 ohm,PCS,3390,3349
1,12100059,RCF,IPS 2.5K,Class H power amplifier - 2 x 1.250 W @ 4 ohm,PCS,4628,4571
1,12100061,RCF,IPS 5.0K,Class H power amplifier - 2 x 2.600 W @ 4 ohm,PCS,6888,6804
1,12100055,RCF,QPS 6.0K,Class HD power amplifier - 4 x 1.500 W @ 2 ohm,PCS,10009,9887
1,12100057,RCF,QPS 10K,Class HD power amplifier - 4 x 2.500 W @ 2 ohm,PCS,11085,10950
1,12399033,RCF,DX 1616,"16X16 matrix audio processor, AES-EBU, ethernet, Dante",PCS,28736,28385
1,12135033,RCF,DX 4008,4 IN 8 OUT Digital speaker processor,PCS,11946,11801
1,13100022,RCF,VSA 2050 II,"20 x 3,5"" speakers, 96 dB Max SPL, RDNet",PCS,29812,29449
1,13100025,RCF,VSA 1250 II,"12 x 3,5"" speakers, 94 dB Max SPL, RDNet",PCS,23139,22857
1,13100028,RCF,VSA 850 II,"8 x 3,5"" speakers, 93 dB Max SPL, RDNet",PCS,19265,19030
1,13360410,RCF,SWM-BR VSA II,Swivel bracket for VSA II,PCS,969,957
1,13100053,RCF,VSA 2050 II B,"20 x 3,5"" speakers, 96 dB Max SPL, RDNet, Black",PCS,29812,29449
1,13100055,RCF,VSA 1250 II B,"12 x 3,5"" speakers, 94 dB Max SPL, RDNet, Black",PCS,23139,22857
1,13100057,RCF,VSA 850 II B,"8 x 3,5"" speakers, 93 dB Max SPL, RDNet, Black",PCS,19265,19030
1,13360442,RCF,SWM-BR VSA II BLACK,Swivel bracket for VSA II Black,PCS,969,957
1,13360330,RCF,VSA SMART RC,Smartphone remote control for VSA,PCS,1044,1031
1,13360318,RCF,TA1000 VSA,100V to 0dB trasformer adapter for VSA,PCS,312,308
1,13100024,RCF,VSA 2050 CUST MKII,"20 x 3,5"" speakers, 96 dB Max SPL, RDNet",PCS,35732,35296
1,13100027,RCF,VSA 1250 CUST MKII,"12 x 3,5"" speakers, 94 dB Max SPL, RDNet",PCS,27875,27535
1,13100030,RCF,VSA 850 CUST MKII,"8 x 3,5"" speakers, 93 dB Max SPL, RDNet",PCS,23139,22857
1,12100026,RCF,DMA 82,Digital Mixer Amplifier 2 x 80Wrms,PCS,3390,3349
1,12100027,RCF,DMA 162,Digital Mixer Amplifier 2 x 160Wrms,PCS,3821,3774
1,12100028,RCF,DMA 162P,Digital Power Amplifier 320Wrms,PCS,2906,2870
1,12100035,RCF,DMA 504,Digital Mixer Amplifier 4 x 500 Wrms,PCS,9686,9568
1,12399068,RCF,TRF-KIT DMA 82,2x 80 W / 100 V Transformer Kit,PCS,1722,1701
1,12399069,RCF,TRF-KIT DMA 162,2x 160 W / 100 V Transformer Kit,PCS,2099,2073
1,12399065,RCF,BT BOARD DMA,DMA amplifiers bluethooth card,PCS,646,638
1,13360426,RCF,RM-KIT DMA,Rack mount kit for DMA,PCS,97,96
1,14322031,RCF,BM 404,Desktop paging console,PCS,1507,1488
1,12399051,RCF,RC 401 EU B,"Wall mount remote control, compatible with EU standard box, Black",PCS,312,308
1,12399052,RCF,RC 401 EU W,"Wall mount remote control, compatible with EU standard box, White",PCS,312,308
1,12399053,RCF,RC 401 US B,"Wall mount remote control, compatible with US standard box, Black",PCS,312,308
1,12399054,RCF,RC 401 US W,"Wall mount remote control, compatible with US standard box, White",PCS,312,308
1,12399048,RCF,RDNET BOARD DMA,Optional network board,PCS,355,351
1,13100051,RCF,WMR 50T,"IP55 - Two-way wall mount monitor speaker 5"" + 1"", „40 W AES power handling, with transformer",PCS,1044,1031
1,13100050,RCF,WMR 60T,"IP55 - Two-way wall mount monitor speaker 6,5"" + 1"", „80 W AES power handling, with transformer",PCS,1184,1169
1,13100074,RCF,WMR 50T W,"IP55 - Two-way wall mount monitor speaker 5"" + 1"", „40 W AES power handling, with transformer, White",PCS,1044,1031
1,13100071,RCF,WMR 60T W,"IP55 - Two-way wall mount monitor speaker 6,5"" + 1"", „80 W AES power handling, with transformer, White",PCS,1184,1169
1,13100044,RCF,CMR 50T W,"Two-way ceiling monitor speaker 5"" + 1"", „40 W AES power handling, with transformer, White",PCS,1044,1031
1,13100045,RCF,CMR 60T W,"Two-way ceiling monitor speaker 6,5"" + 1"", „80 W AES power handling, with transformer, White",PCS,1130,1116
1,13100112,RCF,CMR-S 60T W,"Ceiling subwoofer 6,5"", 80 W AES power handling, with transformer",PCS,1184,1169
1,13100098,RCF,PMR 60T W,"Two-way pendant monitor speaker 6,5"" + 1"", „80 W AES power handling, with transformer, White",PCS,1507,1488
1,13100100,RCF,PMR 60T B,"Two-way pendant monitor speaker 6,5"" + 1"", „80 W AES power handling, with transformer, Black",PCS,1507,1488
1,13100111,RCF,CMR 30,"Pair of ceiling monitors, aluminium - 60 W peak - 16 OHM",PCS,915,904
1,13360492,RCF,GRILLE KIT 4X CMR B,Set of 4 black grilles for CMR 60T and CMR 50T ceiling speakers,PCS,398,393
1,13360489,RCF,TILE BRIDGE 4X CMR,Tile bridge accessory for CMR 60T and CMR 50T installation in standard false ceiling structures,PCS,517,510
1,13360490,RCF,MUD RING 4X CMR,Set of 4 mud ring accessories for CMR 60T and CMR 50T installation in new constructions ceilings,PCS,420,415
1,13100034,RCF,MR 40,"Pair of two-way bass reflex speakers 4""+ 1"", 40W",PCS,1130,1116
1,13100036,RCF,MR 40 W,"Pair of two-way bass reflex speakers 4""+ 1"", 40W, White",PCS,1130,1116
1,13100035,RCF,MR 40T,"Pair of two-way bass reflex speakers 4""+ 1"", 40W with transformer",PCS,1345,1329
1,13100037,RCF,MR 40T W,"Pair of two-way bass reflex speakers 4""+ 1"", 40W with transformer, White",PCS,1345,1329
1,13100038,RCF,MR 50,"Pair of two-way bass reflex speakers 5""+ 1"", 60W",PCS,1614,1595
1,13100040,RCF,MR 50 W,"Pair of two-way bass reflex speakers 5""+ 1"", 60W, White",PCS,1614,1595
1,13100039,RCF,MR 50T,"Pair of two-way bass reflex speakers 5""+ 1"", 60W with transformer",PCS,1883,1860
1,13100041,RCF,MR 50T W,"Pair of two-way bass reflex speakers 5""+ 1"", 60W with transformer, White",PCS,1883,1860
1,13360367,RCF,MA 4,U bracket for MR 40T,PCS,108,106
1,13360368,RCF,MA 4 W,U bracket for MR 40T W,PCS,108,106
1,13360369,RCF,MA 5,U bracket for MR 50T,PCS,108,106
1,13360370,RCF,MA 5 W,U bracket for MR 50T W,PCS,108,106
1,13000726,RCF,HL 6 16ohm,"Passive two-way line array module 2X6"" + 1.75"" v.c., 250 W AES",PCS,6780,6698
1,13000732,RCF,HL 35-S 8ohm,"Passive flyable subwoofer for HL 6, 15"", 900 W AES",PCS,12592,12439
1,13000830,RCF,HL 38-S WP,"Weatherproof passive flyable subwoofer 18"", 1.500 W AES",PCS,18296,18073
1,13000407,RCF,HL 2260,"IP55 horn loaded two way array system. 2x12"" Woofer+4"" CD, 22,5°x60",PCS,27660,27322
1,13000404,RCF,HL 2240,"IP55 horn loaded two way array system. 2x12"" Woofer+4"" CD, 22,5°x40",PCS,27660,27322
1,13000405,RCF,HL 2290,"IP55 horn loaded two way array system. 2x12"" Woofer+4"" CD, 22,5°x90",PCS,27660,27322
1,13000266,RCF,H 1315 WP,Weather-proof version of H1315,PCS,25938,25621
1,13000565,RCF,HVL 15-P W,"Three-way passive speaker system 2 x 15” + 2 x 10” + 2 x 4”, bi-amped 1000 W (LF) + 900 W (MHF) AES power handling, Weatherproof, 45° x 15° coverage angles, White",PCS,52736,52093
1,13000640,RCF,HVL 15-L W,"Three-way passive speaker system 2 x 15” + 2 x 10” + 2 x 4”, bi-amped 1000 W (LF) + 900 W (MHF) AES power handling, Weatherproof, 90° x 30° coverage angles, White",PCS,52736,52093
1,13000700,RCF,HVL 15-P1 W,"Three-way passive speaker system 2 x 15” + 2 x 10” + 2 x 4”, bi-amped 1000 W (LF) + 900 W (MHF) AES power handling, Weatherproof, 60° x 30° coverage angles, White",PCS,52736,52093
1,13000701,RCF,HVL 15-L1 W,"Three-way passive speaker system 2 x 15” + 2 x 10” + 2 x 4”, bi-amped 1000 W (LF) + 900 W (MHF) AES power handling, Weatherproof, 90° x 30° coverage angles, White",PCS,52736,52093
1,13000705,RCF,HVL 15-S W,"2 x 15"" long throw passive subwoofer, 3000 W AES power handling, Weatherproof, White",PCS,43911,43376
1,13000698,RCF,Q 15 8ohm,"Passive two-way point source module 15"" + 4"", 22.5°x60° constant directivity coverage, 1500 W AES",PCS,19803,19562
1,13000727,RCF,Q 15-L 8ohm,"Passive two-way point source module 15"" + 4"", 22.5°x90° constant directivity coverage, 1500 W AES",PCS,19803,19562
1,13000728,RCF,Q 15-P 8ohm,"Passive two-way point source module 15"" + 4"", 22.5°x40° constant directivity coverage, 1500 W AES",PCS,19803,19562
1,13000534,RCF,C-MAX 4110,"2 way full range high power nearfield monitor 10"" - 1"" - 90x70°, 350W",PCS,5597,5528
1,13000535,RCF,C-MAX 4112,"2 way full range high power nearfield monitor 12"" - 1"" - 90x70°, 400W",PCS,6242,6166
1,13000657,RCF,X-MAX 10,"Two-way full range high power passive speaker 10"" + 1.4"" v.c - 90x70°, 700Wpeak",PCS,2744,2711
1,13000658,RCF,X-MAX 12,"Two-way full range high power passive speaker 12"" + 1.4"" v.c - 90x70°, 800Wpeak",PCS,3444,3402
1,13000281,RCF,C 3108-96,"2 way speaker sys. - 8"" - 1"" - 90x60° - 300W ",PCS,4466,4412
1,13000282,RCF,C 3108-126,"2 way speaker sys. - 8"" - 1"" - 120x60° - 300W ",PCS,4466,4412
1,13000283,RCF,C 3110-96,"2 way speaker sys. - 10"" - 1"" - 90x60° - 300W ",PCS,5220,5156
1,13000284,RCF,C 3110-126,"2 way speaker sys. - 10"" - 1"" - 120x60° - 300W ",PCS,5220,5156
1,13000617,RCF,S 10,"Bass reflex subwoofer, 10"", 400W",PCS,2798,2764
1,13000618,RCF,S 12,"Bass reflex subwoofer, 12"", 400W",PCS,3498,3455
1,13000667,RCF,S 15,"Bass reflex subwoofer, 15"", 500W",PCS,4305,4253
1,13000168,RCF,S 8015LP,"15"" subwoofer - 800W bandpass  - under seat configuration",PCS,6888,6804
1,13000398,RCF,S 8015 II,"Subwoofer 15"", 1.000 W - reflex",PCS,6996,6910
1,13000390,RCF,S 8018 II,"Subwoofer 18"", 1.500 W - reflex",PCS,7426,7336
1,13000391,RCF,S 8028 II,"Subwoofer 2 x 18"", 3.000 W - reflex",PCS,13346,13183
1,13100096,RCF,S 19,"Weatherproof subwoofer 19"", 1.500 W - reflex",PCS,8180,8080
1,13100097,RCF,S 29,"Weatherproof subwoofer 2 x 19"", 3.000 W - reflex",PCS,15283,15096
1,13100117,RCF,S 19 WP,"Weatherproof subwoofer 19"", 1500W - reflex",PCS,9902,9781
1,13100108,RCF,S 29 WP,"Weatherproof subwoofer 2 x 19"", 3000W - reflex",PCS,18834,18605
1,13000203,RCF,P 1108T,"2 way weather-proof speaker sys. - 8'' - 1''- 90°x70° horn- 100 W 16 ohm, with 60W line transf.",PCS,3229,3189
1,13100084,RCF,P 1108T W,"2 way weather-proof speaker sys. - 8'' - 1''- 90°x70° horn- 100 W 16 ohm, with 60W line transf., White",PCS,3229,3189
1,13000125,RCF,P 2110T,"weather-proof speaker system, coaxial 10""+1"", 200W 16 ohm, with 60W line transf.",PCS,4789,4731
1,13000198,RCF,P 3108,2 way weather-proof speaker sys. - 8'' - 1''- 90°x70° horn- 300 W ,PCS,5166,5103
1,13000135,RCF,P 3115T,"weather-proof speaker system, coaxial 15""+1"", 300W 16 ohm, with 120W line transf.",PCS,6996,6910
1,13100082,RCF,P 3115T W,"weather-proof speaker system, coaxial 15""+1"", 300W 16 ohm, with 120W line transf., White",PCS,6996,6910
1,13000199,RCF,P 4228,"2 way weather-proof speaker sys. - 2x8"" woofer + 2""driver - 400W",PCS,8072,7973
1,13100081,RCF,P 4228 W,"2 way weather-proof speaker sys. - 2x8"" woofer + 2""driver - 400W, White",PCS,8072,7973
1,13000202,RCF,P 5228-L,"2 way weather-proof ARRAY MODULE - 2x8"" woofer + 2x1""driver - 400W",PCS,8610,8505
1,13000131,RCF,P 6215,"High efficiency weather-proof speaker system, coaxial 15""+2"", 600W",PCS,8610,8505
1,13100083,RCF,P 6215 W,"High efficiency weather-proof speaker system, coaxial 15""+2"", 600W, White",PCS,8610,8505
1,13000230,RCF,P 8015S,"weather-proof sub-woofer sys. - 15"" - 800W",PCS,6027,5954
1,13000738,RCF,COMPACT A 10,"Speaker system 10"" + 1.75"" v.c., 350 W AES",PCS,2744,2711
1,13000739,RCF,COMPACT A 12,"Speaker system 12"" + 1.75"" v.c, 400 W AES",PCS,3229,3189
1,13000740,RCF,COMPACT A 15,"Speaker system 15"" + 1.75"" v.c, 450 W AES",PCS,3767,3721
1,13000642,RCF,COMPACT C 32,"Two-way professional speaker 12""+ 3"" v.c., 600 W RMS",PCS,7964,7867
1,13000602,RCF,COMPACT C 45,"Two-way professional speaker  15""+ 4"" v.c., 700 W RMS",PCS,9686,9568
1,13000911,RCF,COMPACT C 32 WP,"Weatherproof two-way professional speaker 12""+ 3"" v.c., 600 W RMS, ",PCS,9686,9568
1,13000803,RCF,COMPACT C 45 WP,"Weatherproof two-way professional speaker  15""+ 4"" v.c., 700 W RMS",PCS,11839,11694
1,13000623,RCF,COMPACT M 04,"Two-way passive speaker system 4""+ 1"", 60W",PCS,990,978
1,13000581,RCF,COMPACT M 05,"Two-way passive speaker system 5""+ 1"", 80W",PCS,1184,1169
1,13000582,RCF,COMPACT M 06,"Two-way passive speaker system 6""+ 1"", 100W",PCS,1614,1595
1,13000594,RCF,COMPACT M 08,"Two-way passive speaker system 8""+ 1"", 200W",PCS,2314,2286
1,13000595,RCF,COMPACT M 10,"Two-way passive speaker system 10""+ 1"", 300W",PCS,3121,3083
1,13000596,RCF,COMPACT M 12,"Two-way passive speaker system 12""+ 1"", 300W",PCS,4036,3987
1,13000725,RCF,COMPACT M 04 W,"Two-way passive speaker system 4""+ 1"" v.c., 60W, White",PCS,990,978
1,13000720,RCF,COMPACT M 05 W,"Two-way passive speaker system 5""+ 1"" v.c., 80W, White",PCS,1184,1169
1,13000721,RCF,COMPACT M 06 W,"Two-way passive speaker system 6""+ 1"" v.c., 100W, White",PCS,1614,1595
1,13000722,RCF,COMPACT M 08 W,"Two-way passive speaker system 8""+ 1.4"" v.c., 300W, White",PCS,2314,2286
1,13000723,RCF,COMPACT M 10 W,"Two-way passive speaker system 10""+ 1.4"" v.c., 300W, White",PCS,3121,3083
1,13000724,RCF,COMPACT M 12 W,"Two-way passive speaker system 12""+ 1.4"" v.c., 300W, White",PCS,4036,3987
1,13000169,RCF,L 2406T,"3-way column array - 6 x 5"" + 4 x 1"" - 200W",PCS,4413,4359
1,13000177,RCF,L 2406T W,"3-way column array - 6 x 5"" + 4 x 1"" - 200W, white",PCS,4413,4359
1,13360521,RCF,FL-B LGT HL 40 WP 002,"Lightweight fly-bar for HL 38-S WP, up to 4 modules",PCS,3444,3402
1,13360534,RCF,FLY BAR HL 40 WP 002,"Fly-bar for HL 38-S WP, up to 8 modules",PCS,5919,5847
1,13360031,RCF,AC EB 4X,Set of 4 eye bolts,PCS,194,191
1,13360282,RCF,FL-B HL,Fly bar for HL2240-60-90-00,PCS,6350,6272
1,13360487,RCF,C-BR 4X Q 15,"Set of 4 flying brackets to install Q 15 modules with a coupling angle of 10°, instead of the native 22.5°",PCS,689,680
1,13360456,RCF,FL-B H Q 15,Horizontal fly bar for Q 15,PCS,1238,1223
1,13360457,RCF,FL-B V Q 15,Vertical fly bar for Q 15,PCS,3444,3402
1,13360095,RCF,C-BR 2X P10,Cluster brackets for P2110 (including 4 brackets to cluster 2 speakers),PCS,969,957
1,13360094,RCF,C-BR 2X P15,Cluster brackets for P3115/P6215 (including 4 brackets to cluster 2 speakers),PCS,1012,999
1,13360119,RCF,C-BR 2X P28,Cluster brackets for P4228/P5228L (including 4 brackets to cluster 2 speakers),PCS,1012,999
